Anki-Lernkarten (bereitgestellt durch das Institut fï¿½r Klin. Pharmakologi;"Pruefungspunkte
"
0;16
0;24
0;21
0;17
0;20
0;25
0;22
0;18
0;26
0;20
0;23
0;19
1;21
0;20
0;21
1;23
0;21
0;21
1;25
1;20
0;24
0;26
0;23
0;12
0;24
0;14
0;19
0;12
0;24
0;18
0;16
1;19
0;20
0;24
0;18
0;24
0;17
0;22
0;17
0;20
0;15
0;21
0;24
0;23
0;21
0;28
0;24
0;23
0;26
0;22
1;21
0;25
0;25
1;15
0;23
0;18
0;23
0;20
0;18
0;16
0;17
0;27
0;23
0;17
0;25
0;15
0;22
0;22
0;22
0;21
0;23
0;16
1;17
0;21
0;22
0;22
0;25
0;24
0;21
1;24
0;20
0;24
0;18
0;23
0;23
0;17
0;23
1;23
0;22
0;21
0;24
0;23
0;25
0;17
0;23
0;15
0;14
0;22
0;20
1;27
0;25
0;22
0;21
0;21
1;21
0;18
0;20
0;21
0;23
0;17
0;20
0;26
0;27
0;18
0;17
0;21
0;22
0;24
0;27
0;24
0;17
0;19
0;26
0;27
0;7
1;22
0;21
0;2
0;20
0;22
0;27
0;23
0;19
0;24
1;22
0;23
0;24
1;18
0;20
0;25
1;27
0;19
0;26
0;22
0;29
1;16
1;17
0;26
0;17
0;18
0;17
0;21
0;18
0;25
1;18
1;16
0;25
0;14
1;22
1;26
1;17
0;17
0;15
0;15
0;22
0;21
0;20
0;17
0;24
