Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);Aufgaben/Patientenfälle auf Moodle;Testfragen auf Moodle;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);alle sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?;6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?;7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?;Installation des Programms(Zeit in Stunden):                                       ;Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):;Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):;semesterbegleitend ;zur Prüfungsvorbereitung;in speziellen Situationen, z.B. im Bus/Zug;Sonstiges: ____________________;PC;Laptop;Tablet;Handy;Ich hatte nicht ausreichend Zeit dazu. ;Die Lernkarten haben mich nicht interessiert.;Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.;Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.;Ich wusste nicht, dass es die Lernkarten gibt.;Ich nutze eigene Lernkarten.;Sonstige Gründe: ______________________________________;12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?;13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?;14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;exam score
125;AL   22;PE   12;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;1;0;0;0;1;1;0;0;ZZ;1;P;
90;AL   26;JE   18;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;2;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;2;P;
2;AN   01;MA   22;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;3;1;1;3;0,1;1OO;ZOO;1;1;0;0;0;1;0;0;;;;;;;;1;[LEER];4;3;0;1;0;1;0;0;0;Z4;2;P;
138;AN   01;PA   12;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZI;1;P;
190;AN   01;MA   01;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;2;2;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;3;1;0;0;0;0;0;0;ZO;1;P;
171;AN   05;MA   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;2;0;0;1;1;1;0;0;Z1;2;P;
186;AN   06;DA   18;1;1;0;0;0;0;0;1;0;0;2;1;0;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;1;1;1;0;0;0;1;[LEER];4;4;0;1;0;1;0;0;0;ZZ;1;P;
94;AN   08;TH   03;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;3;1;1;2;;;^;0;1;0;0;0;0;1;0;;;;;;;;;[LEER];;;0;0;1;1;0;0;0;Z5;1;P;
144;AN   15;SE   27;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;3;;1;2;OO1;OO1;OOZ;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;1;0;1;0;0;0;ZZ;1;P;
158;AN   15;HO   23;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;1;0;0;0;0;0;0;24;1;P;
111;AN   16;TN   20;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;4;0;0;1;0;0;0;0;ZZ;1;P;
36;AN   17;MA   22;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;2;^;O;1O;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
51;AN   18;WA   27;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
99;AN   19;PE   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];;;;;;;;;;;;P;
84;AN   21;VA   06;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;2;1;2;2;~~1;0,2;Z;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
48;AN   22;RA   30;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;1;0;0;0;0;0;0;Z5;2;P;
112;AN   23;BE   09;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
132;AN   23;MA   07;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;;O;O;D;;;;;;;;;0;1;1;0;0;0;0;1;[LEER];3;3;0;1;0;1;0;0;0;Z4;2;P;
200;AN   23;RA   19;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;;[LEER];4;3;0;0;0;1;1;0;0;ZZ;1;P;
56;AN   25;TH   03;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];3;3;0;0;0;1;0;1;0;Z4;1;P;
194;AN   25;HU   19;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;2;OP5;ODT;Z;1;0;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;0;0;0;0;ZZ;1;P;
203;AN   30;GU   20;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];3;2;1;0;0;0;0;0;0;ZZ;2;P;
155;AN   31;MA   18;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z4;1;P;
82;BA   01;VO   02;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;.;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;2;P;
41;BA   03;FR   29;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
11;BA   10;FR   12;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;3;2;2;;;;;;;;;;;;;0;0;0;1;0;0;1;1;[LEER];4;4;1;0;0;0;0;0;0;Z4;1;P;
183;BA   24;JO   01;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;3;1;1;1;O;O;Z;1;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;0;0;0;0;ZY;1;P;
137;BA   30;LV   25;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;3;1;1;2;IO;5;;0;1;0;0;0;1;1;0;;;;;;;;;[LEER];2;2;0;0;0;1;0;1;0;Z7;1;P;
109;BE   05;OL   11;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;ZZ;1;P;
100;BE   20;BE   27;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;;[LEER];4;3;1;0;0;0;0;0;0;Z4;1;P;
136;BI   03;BE   26;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;3;0;0;1;1;0;1;0;ZZ;1;P;
129;BI   10;TA   10;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;;2;3;;;;1;0;0;0;0;0;0;1;;;;;;;;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;1;P;
26;BI   31;HA   13;1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;2;;;;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;1;0;0;0;Z4;2;P;
35;BR   02;AX   18;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;1;0;0;0;ZZ;2;P;
119;BR   11;OL   30;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;3;1;1;1;OIS;O\5;6;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;0;0;1;0;0;Z9;2;P;
222;BR   29;AR   31;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;1;1;OOO;OOO;OO1;0;1;1;0;0;1;1;1;;;;;;;;1;[LEER];3;3;0;1;0;0;0;1;0;ZZ;1;P;
214;CA   02;MI   14;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;3;1;1;2;1;1;28;1;0;0;0;0;1;1;1;;;;;;;;1;[LEER];4;4;0;0;1;1;0;0;0;ZZ;1;P;
145;CA   14;AL   01;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
5;CH   01;GE   15;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;;[LEER];4;4;0;0;1;1;0;0;0;Z4;2;P;
128;CH   03;JU   10;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;;[LEER];4;3;0;1;0;1;1;0;0;ZZ;;P;
181;CH   10;HA   01;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;3;1;2;1;;;7;1;1;1;0;0;0;0;1;;;;;;;;1;[LEER];2;1;0;0;0;1;1;0;0;Z4;1;P;
3;CH   21;CH   27;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;3;1;1;1;O;O;1;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;1;1;0;1;0;Z4;2;P;
204;CL   13;KO   06;1;1;0;0;0;1;0;1;0;0;;1;0;0;1;1;1;1;0;0;2;1;1;1;0,5;O;Z;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];4;4;0;0;0;1;0;0;0;ZY;1;P;
118;CL   17;AN   21;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
163;CL   20;TH   01;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;1;[LEER];2;1;0;0;1;1;1;0;0;ZZ;1;P;
92;CL   25;HE   25;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;4;0;0;1;1;0;0;0;ZZ;2;P;
153;CL   28;EK   01;1;1;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;0;0;0;0;0;1;0;;[LEER];2;2;1;0;0;0;0;0;0;J1;2;P;
108;CL   31;RE   26;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
12;CO   10;JA   26;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;1;0;0;0;0;0;1;[LEER];3;2;0;0;0;1;0;0;0;ZZ;1;P;
156;DA   04;DI   11;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;3;0;0;0;1;0;0;0;ZZ;1;P;
63;DA   06;ST   29;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;
53;DA   08;CL   18;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;3;1;1;1;O;D;5;1;1;1;0;0;0;1;1;;;;;;;;1;[LEER];3;4;0;0;1;1;1;0;0;Z4;1;P;
192;DA   08;MI   30;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;
209;DO   06;MA   18;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;0;1;0;0;Z4;2;P;
201;DO   07;ST   22;1;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
13;DO   10;TH   14;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;[LEER];4;4;0;0;0;1;0;0;0;Z4;2;P;
7;ED   10;HA   20;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;1;0;1;[LEER];3;3;0;0;0;1;0;0;0;Z4;2;P;
87;EL   01;SE   17;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;2;;;;;;;;;;;;;;1;1;1;0;0;0;0;;[LEER];2;3;0;0;1;1;0;0;0;ZZ;1;P;
217;EL   03;GU   06;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;3;1;1;2;OI1;OI1;1;1;0;0;0;0;1;0;0;;;;;;;;1;[LEER];2;2;0;0;1;1;1;0;0;ZO;1;P;
172;EL   04;WO   12;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;Z4;2;P;
19;EL   07;DI   22;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;;;P;
1;EL   09;GO   30;1;1;1;0;0;0;1;1;1;0;2;1;0;0;0;1;0;1;1;0;2;1;1;2;OO1;OOO;OOZ;0;1;1;0;0;1;0;0;;;;;;;;1;[LEER];3;4;0;0;0;0;0;0;1;Z4;1;P;
44;EL   29;MI   17;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;;0;1;0;1;0;0;0;Z6;1;P;
23;ER   12;HE   20;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;3;1;1;3;^;1;1;1;0;0;0;0;1;0;0;;;;;;;;;[LEER];3;3;1;0;0;0;0;0;0;ZT;1;P;
96;ER   24;GE   27;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;8;0;1;0;0;0;1;0;0;;;;;;;;;[LEER];3;2;0;0;1;0;1;0;0;ZY;1;P;
213;EU   17;RO   12;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;0;1;0;0;ZZ;1;P;
187;EU   25;RO   03;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;;;;;;;;;;;;;;;0;1;0;0;0;1;1;1;[LEER];2;2;0;0;0;1;0;0;1;Z5;1;P;
149;EV   07;JE   10;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;1;0;1;[LEER];3;1;;;;;;;;Z4;1;P;
223;EZ   24;DI   27;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;
193;FA   06;RA   01;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;3;;1;2;;;;0;1;0;0;0;0;0;1;;;;;;;;1;[LEER];3;4;0;0;0;0;1;0;0;Z6;2;P;
162;FA   15;SE   02;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;1;0;0;1;0;ZZ;1;P;
85;FL   17;BU   30;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;3;2;1;1;0,1;O;Z;0;1;0;0;1;0;1;0;;;;;;;;1;[LEER];4;5;0;0;0;1;0;0;0;Z4;2;P;
106;FR   07;GE   24;1;1;1;0;0;1;0;1;0;0;2;1;0;0;1;0;0;1;0;0;3;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;1;[LEER];4;3;1;0;0;0;0;0;0;ZZ;2;P;
140;FR   16;SI   09;1;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];;3;0;0;1;1;0;0;0;Z9;2;P;
205;GA   08;GU   15;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;3;1;1;2;0,5;O;Z;0;1;1;0;0;0;1;1;;;;;;;;1;[LEER];3;3;0;1;0;0;0;0;0;ZZ;1;P;
199;GA   31;FR   08;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z4;1;P;
211;GA   31;UW   01;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;Z9;2;P;
131;GI   16;PE   01;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;3;0;0;0;0;1;0;0;ZZ;1;P;
147;GM   20;IB   08;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;2;2;2;;.;;;;;;;;;;;0;1;0;0;0;0;0;2;[LEER];4;4;0;0;1;1;0;0;0;Z1;2;P;
91;GU   30;MA   09;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;[LEER];4;2;0;0;0;1;0;0;0;ZZ;1;P;
134;HA   28;GE   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];2;1;0;0;0;1;0;0;0;Z1;2;P;
174;HE   03;CH   03;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;0;0;1;0;ZZ;1;P;
176;HE   10;SI   26;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;ZZ;1;P;
170;HE   11;RO   25;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];4;4;0;0;0;1;1;0;0;Z4;1;P;
210;HE   17;CH   08;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];2;1;0;1;0;0;0;0;0;Z5;2;P;
65;HE   20;TH   07;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;1;1;1;[LEER];4;3;1;0;0;0;0;0;0;Z4;1;P;
178;HE   28;UW   06;1;1;0;0;0;1;0;1;1;1;2;1;1;0;1;0;0;1;0;0;3;1;1;3;1;1;2;0;1;1;0;0;0;0;1;;;;;;;;1;[LEER];2;2;0;1;0;1;1;0;0;Z5;1;P;
218;HI   01;CH   30;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;3;;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];2;3;0;0;1;1;1;0;0;Z7;2;P;
72;HI   07;ST   12;1;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;1;2;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;[LEER];4;4;0;0;1;0;0;1;0;ZZ;2;P;
49;IN   04;ZE   12;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;1;1;[LEER];4;4;1;0;0;0;0;0;0;Z4;2;P;
21;IN   17;AN   03;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;1;0;1;0;1;[LEER];3;3;0;0;1;1;1;0;0;ZZ;1;P;
17;IN   21;MI   07;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];5;4;0;0;1;0;0;0;0;ZZ;2;P;
