Bogen;"Segmentierte Handschrift";"Segmentierte Handschrift";"Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.";"Q9-Skripte, digitale Nutzung";"Q9-Skripte, Papierdruck";"Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________";"Leitlinien der Fachgesellschaften (im Original)";"Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"Aufgaben/Patientenfälle auf Moodle";"Testfragen auf Moodle";"andere: ____________________________________________";"2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?";"Lernskripte";"zeitunabhängig angebotene Vorlesungs- und Seminarvideos";"Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom)";"Präsenzveranstaltungen an bestimmten Terminen";"Aufgaben zur eigenständigen Bearbeitung (mit Lösung)";"Testfragen zu den Lerninhalten";"Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"alle sind gleich nützlich";"4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?";"5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?";"6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?";"7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?";"Installation des Programms(Zeit in Stunden):                                       ";"Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):";"Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):";"semesterbegleitend ";"zur Prüfungsvorbereitung";"in speziellen Situationen, z.B. im Bus/Zug";"Sonstiges: ____________________";"PC";"Laptop";"Tablet";"Handy";"Ich hatte nicht ausreichend Zeit dazu. ";"Die Lernkarten haben mich nicht interessiert.";"Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.";"Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.";"Ich wusste nicht, dass es die Lernkarten gibt.";"Ich nutze eigene Lernkarten.";"Sonstige Gründe: ______________________________________";"12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?";"13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?";"14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?";"15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?";"Nein, nicht wesentlich.";"Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.";"Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Sonstige Veränderungen: ______________________________________";"Wie alt sind Sie (in Jahren)?";"Bitte geben Sie Ihr Geschlecht an:";Datensatz-Ursprung
1;"LU   21";"VA   07";1;1;0;0;0;0;0;0;1;0;;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;"[LEER]";;;1;0;0;0;0;0;0;"Z4";1;"P"
2;"JE   14";"MA   14";1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";".";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";1;1;0;0;0;1;0;1;0;"Z5";1;"P"
3;"GE   25";"WA   10";1;1;0;0;0;0;0;1;0;0;2;1;0;1;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;1;0;0;0;0;"ZZ";1;"P"
4;"ST   28";"TH   10";1;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;2;1;2;3;"O";"//O";"//Z";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;1;0;"Z1";2;"P"
5;"EL   04";"WO   12";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;;;;"";"";"";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;;"[LEER]";2;2;0;0;1;0;0;0;0;"Z4";2;"P"
6;"EV   07";"JE   10";1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;;1;1;2;"OOO";"OO1";"OOZ";1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;1;0;0;"ZZ";1;"P"
7;"MI   15";"KA   20";1;1;1;0;0;0;0;1;1;1;;1;1;1;1;1;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";4;4;0;0;1;0;0;0;0;"ZZ";2;"P"
8;"HE   03";"CH   03";1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;1;0;"ZZ";1;"P"
9;"AM   05";"MA   15";1;0;1;0;0;1;0;1;1;0;2;1;1;0;0;1;1;0;0;0;3;1;2;2;"O1O";"OOZ";"ZOO";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;0;0;0;0;"Z1";2;"P"
10;"BA   22";"JO   06";1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;2;3;".";"O";"1";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"Z4";1;"P"
11;"CH   03";"JU   10";1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"[LEER]";4;3;0;1;0;0;0;0;0;"ZZ";2;"P"
12;"SA   01";"FL   05";1;1;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;3;1;1;1;"0,5";",5";"4";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;1;0;1;"Z1";1;"P"
13;"NA   14";"KO   23";1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";5;4;0;0;0;0;0;0;0;"21";2;"P"
14;"MA   19";"PE   26";1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;2;1;"O";"D";"XX";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";4;2;0;1;0;1;0;0;0;"Z1";1;"P"
15;"MO   18";"GA   07";1;1;1;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;"[LEER]";4;3;0;0;1;1;0;0;0;"ZZ";2;"P"
16;"IR   12";"KL   01";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;"[LEER]";3;2;0;0;0;1;0;0;0;"ZS";2;"P"
17;"SU   11";"HA   26";1;1;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;3;1;1;2;"OO1";"001";"OO1";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;1;0;0;"ZZ";2;"P"
18;"JA   15";"DA   04";1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;1;1;0;0;3;1;1;2;"O";"O";"1";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
19;"JU   24";"PE   17";1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;"[LEER]";4;4;1;0;0;0;0;0;0;"ZZ";2;"P"
20;"BA   13";"FR   12";1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;"[LEER]";4;3;0;0;0;0;1;0;0;"ZZ";1;"P"
21;"MO   05";"AR   26";1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;"[LEER]";3;3;0;0;0;1;1;0;0;"Z1";1;"P"
22;"BE   24";"DI   19";1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;3;1;2;2;"0,1";"91";"6";1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;"[LEER]";4;4;0;0;1;1;1;0;0;"ZZ";1;"P"
23;"MA   06";"FR   20";;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;2;"";"";"";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";1;1;0;0;1;0;0;0;0;"ZZ";1;"P"
24;"ED   10";"HA   20";1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;"[LEER]";3;2;0;0;1;1;0;0;0;"Z4";2;"P"
25;"AN   29";"WO   06";;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;3;1;1;2;",25";"0";"6";0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";2;1;0;1;0;0;0;1;0;"ZZ";2;"P"
26;"KA   07";"MA   16";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;1;0;0;"ZZ";1;"P"
27;"FL   17";"BU   30";1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";4;4;0;0;1;1;0;1;0;"ZZ";2;"P"
28;"VI   17";"MA   11";1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";1;1;0;0;1;1;1;0;0;"ZZ";1;"P"
29;"UT   21";"UW   14";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZZ";1;"P"
30;"MA   01";"ME   15";;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;"[LEER]";2;3;1;0;0;0;0;0;0;"Z7";2;"P"
31;"SA   05";"CH   07";1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"ZZ";1;"P"
32;"AN   10";"JO   20";1;1;0;0;0;0;0;0;1;1;2;1;1;1;0;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;1;1;"ZO";1;"P"
33;"SA   20";"MI   25";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;"[LEER]";4;3;1;0;0;0;0;0;0;"Z4";2;"P"
34;"SI   18";"WO   31";1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;3;1;2;1;"000";"000";"014";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;"[LEER]";5;4;0;1;0;0;0;0;0;"Z6";2;"P"
35;"HE   20";"TH   07";1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;"[LEER]";4;4;1;0;0;0;0;0;0;"Z4";1;"P"
36;"AN   17";"MA   22";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;"C";"O";"14";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"Z1";1;"P"
37;"VE   18";"OT   19";;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;3;1;1;3;"O";"0";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;1;0;0;0;"Z6";1;"P"
38;"LV   28";"GO   24";;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;"[LEER]";4;4;0;0;0;0;0;0;0;"ZO";1;"P"
39;"SO   02";"JU   05";1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;3;1;1;3;"1";"O";"Z";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;1;0;0;0;0;0;0;"Z1";2;"P"
40;"CH   21";"CH   27";1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;2;"O";"O";"1";0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;1;0;"ZZ";2;"P"
41;"BA   01";"VO   02";1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;1;2;"OO1";"DO1";"OO7";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"ZZ";2;"P"
42;"MA   13";"GU   02";1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;;;;".";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
43;"SA   12";"UL   30";1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"O";"O";"0,5";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;;0;0;0;1;0;1;0;"ZZ";1;"P"
44;"MO   03";"HE   04";1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;3;1;1;1;"0,5";",5";"5";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;1;0;0;"ZZ";1;"P"
45;"SI   27";"FR   04";1;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZQ";1;"P"
46;"MA   27";"KA   14";1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"[LEER]";3;4;0;0;1;0;0;0;0;"Z1";1;"P"
47;"SA   08";"WO   29";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;2;0;1;0;1;1;0;0;"ZZ";1;"P"
48;"SI   26";"AX   31";1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;3;1;1;1;"1";"1";"Y";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";4;4;0;0;0;1;0;1;1;"ZZ";1;"P"
49;"HI   07";"ST   12";1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;"[LEER]";4;3;0;0;1;1;0;0;0;"ZZ";2;"P"
50;"ZZ   39";"ZZ   99";1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;"[LEER]";3;2;0;0;0;1;0;0;0;"ZZ";2;"P"
51;"BR   02";"AX   18";1;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";4;3;0;0;0;1;1;0;0;"ZZ";2;"P"
52;"BI   23";"KA   11";1;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;2;1;1;2;"OI5";"0,5";"OOZ";1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;5;0;0;0;1;1;0;0;"Z4";1;"P"
53;"PE   09";"RO   11";1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;"[LEER]";3;3;0;0;0;1;1;0;0;"Z4";1;"P"
54;"NI   16";"ST   11";1;1;0;0;0;1;0;0;1;0;2;0;0;0;0;1;1;0;0;0;2;1;2;1;"OI1";"O\^";"6";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;1;0;1;0;0;0;0;0;"ZZ";2;"P"
55;"PE   15";"AC   05";1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZO";2;"P"
56;"SI   08";"RE   12";1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;3;1;1;2;"1";"95";"1";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;0;0;1;0;"ZZ";2;"P"
57;"GU   30";"MA   09";1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"[LEER]";4;2;1;0;0;0;0;0;0;"ZZ";1;"P"
58;"EL   07";"DI   22";1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;1;0;0;0;0;"21";2;"P"
59;"UR   10";"HE   05";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;"[LEER]";4;3;0;0;1;1;0;0;0;"ZY";1;"P"
60;"SA   22";"LE   11";1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;3;1;1;1;"O";"O";"4O";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;1;1;0;0;"ZZ";2;"P"
61;"MO   24";"OL   05";1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;2;3;"1";"Z";"Z";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z5";1;"P"
62;"AL   26";"JE   18";1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"ZZ";2;"P"
63;"SI   14";"AX   16";1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;3;1;1;1;"0,1";"OI1";"ZOO";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;1;0;0;0;0;0;"ZZ";1;"P"
64;"AN   21";"VA   06";1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;2;1;2;1;"1";"1";"Y";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
65;"IN   21";"MI   07";1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";5;4;0;0;1;1;0;0;0;"ZZ";2;"P"
66;"ER   24";"GE   27";1;1;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;;1;1;"1";"O";"1O";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZZ";1;"P"
67;"AN   19";"PE   15";1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;"[LEER]";3;2;0;1;0;1;0;0;0;"Z9";1;"P"
68;"EL   24";"PE   06";1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;3;1;2;2;"O5";"9S";"Z";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;1;0;1;0;"Z9";2;"P"
69;"DA   06";"ST   29";1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";".";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;1;0;0;"ZZ";1;"P"
70;"SI   01";"RQ   18";1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;2;"";"";"";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;1;0;0;0;"ZR";1;"P"
71;"MA   02";"RE   29";1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;3;1;1;1;"0";"1";"^O";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"ZZ";1;"P"
