Bogen;"Segmentierte Handschrift";"Segmentierte Handschrift";"Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.";"Q9-Skripte, digitale Nutzung";"Q9-Skripte, Papierdruck";"Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________";"Leitlinien der Fachgesellschaften (im Original)";"Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"Aufgaben/Patientenfälle auf Moodle";"Testfragen auf Moodle";"andere: ____________________________________________";"2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?";"Lernskripte";"zeitunabhängig angebotene Vorlesungs- und Seminarvideos";"Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom)";"Präsenzveranstaltungen an bestimmten Terminen";"Aufgaben zur eigenständigen Bearbeitung (mit Lösung)";"Testfragen zu den Lerninhalten";"Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"alle sind gleich nützlich";"4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?";"5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?";"6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?";"7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?";"Installation des Programms(Zeit in Stunden):                                       ";"Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):";"Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):";"semesterbegleitend ";"zur Prüfungsvorbereitung";"in speziellen Situationen, z.B. im Bus/Zug";"Sonstiges: ____________________";"PC";"Laptop";"Tablet";"Handy";"Ich hatte nicht ausreichend Zeit dazu. ";"Die Lernkarten haben mich nicht interessiert.";"Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.";"Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.";"Ich wusste nicht, dass es die Lernkarten gibt.";"Ich nutze eigene Lernkarten.";"Sonstige Gründe: ______________________________________";"12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?";"13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?";"14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?";"15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?";"Nein, nicht wesentlich.";"Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.";"Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Sonstige Veränderungen: ______________________________________";"Wie alt sind Sie (in Jahren)?";"Bitte geben Sie Ihr Geschlecht an:";Datensatz-Ursprung
165;"AN   15";"HO   23";1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;3;0;0;0;1;0;1;0;"ZS";1;"P"
166;"HE   28";"UW   06";1;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;2;1;1;3;"O";"O";"1";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";2;1;0;1;0;1;0;0;0;"Z5";1;"P"
167;"   ";"   ";;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";;;0;0;0;0;0;0;0;"";;"P"
168;"PE   26";"OL   11";1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;3;1;1;3;"OO^";"OOO";"OOZ";0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z^";1;"P"
169;"AN   26";"JO   15";1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;3;1;1;1;"1";"^";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"22";1;"P"
170;"SA   27";"AN   14";1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;3;1;1;2;"CO1";"CO1";"CO1";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;"[LEER]";2;2;0;0;0;1;0;0;0;"ZZ";2;"P"
171;"AL   99";"BO   99";;0;1;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;1;0;0;1;"ZZ";2;"P"
172;"JU   22";"RO   11";1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;1;"0";"1";"ZD";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;2;0;0;0;1;1;0;0;"ZZ";1;"P"
173;"AN   17";"DI   03";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;2;1;1;2;"OO1";"OO1";"OOZ";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"ZZ";1;"P"
174;"SU   20";"FR   16";1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;2;"0,2";"O";"^";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";4;2;0;0;0;0;0;0;0;"ZU";1;"P"
175;"AN   15";"SE   27";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;3;1;1;2;"DDD";"OOO";"OO7";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
176;"BI   26";"MA   25";;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;"[LEER]";3;3;1;0;0;0;0;0;0;"Z4";1;"P"
177;"AS   26";"ER   31";1;0;1;0;0;1;0;1;1;0;;1;1;0;1;1;0;0;0;0;3;1;1;1;"0";"0";"005";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";;;0;0;0;1;0;0;0;"Z5";1;"P"
178;"MA   16";"MA   13";1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;3;1;1;1;"OOO";"OOO";"OO1";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"22";2;"P"
179;"AN   01";"PA   14";1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z\";1;"P"
180;"OL   29";"RO   10";1;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;;1;"O/5";"OIZ";"1";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"ZC";1;"P"
181;"UL   11";"MA   26";1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;"OOO";"OOO";"OO6";0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;1;0;0;"Z5";2;"P"
182;"DA   23";"ST   04";1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;3;1;1;2;"OI5";"1";"Z";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;0;1;0;0;"ZZ";1;"P"
183;"SA   22";"HI   20";1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";;;0;0;0;0;0;0;0;"";;"P"
184;"SO   24";"RA   18";1;1;0;0;0;0;1;1;1;1;2;0;1;0;1;1;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;"[LEER]";4;4;0;0;0;0;0;0;0;"ZZ";1;"P"
185;"KA   11";"WO   06";1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;2;1;1;3;"O";"1";"Z";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";;4;0;0;1;0;0;1;0;"ZZ";1;"P"
186;"KA   29";"JO   28";1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;3;1;1;1;"1";"OIS";"002";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;0;0;0;0;"Z1";1;"P"
187;"JA   16";"TH   30";1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;1;1;1;0;3;2;;;"";"";"";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZI";1;"P"
188;"AN   26";"DI   19";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;3;1;2;2;"OO1";"OOO";"OO1";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;2;0;0;1;1;0;0;0;"ZZ";1;"P"
189;"YE   20";"MA   13";1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;"[LEER]";3;3;0;0;0;0;0;1;0;"Z^";1;"P"
190;"IN   29";"MA   13";1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;3;1;1;1;"O";"O";"1O";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";5;3;0;0;0;0;0;0;0;"ZZ";2;"P"
191;"MO   02";"HA   16";1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0;3;1;1;1;"1";"^";"ZO";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"Z4";2;"P"
192;"SU   13";"GH   10";1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;;"[LEER]";1;1;1;0;0;0;0;0;0;"Z1";2;"P"
193;"HE   24";"JU   17";;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";;;1;0;0;0;0;0;0;"";;"P"
194;"SI   07";"WE   09";1;1;1;0;0;0;0;1;1;0;2;1;0;0;1;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;"[LEER]";4;4;0;0;1;1;0;0;0;"Z1";1;"P"
195;"MO   10";"HA   28";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";4;3;0;0;1;0;0;0;0;"ZZ";1;"P"
196;"AN   13";"TN   20";1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;"[LEER]";4;3;0;0;1;1;0;0;0;"ZZ";1;"P"
197;"IR   18";"FR   05";1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;"[LEER]";3;3;0;0;1;1;1;0;0;"ZZ";1;"P"
198;"BR   26";"LY   27";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;1;2;3;"O,^";"0,1";"Z";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;0;1;0;0;0;"Z^";1;"P"
199;"BI   01";"PE   30";1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;1;"OO1";"OO1";"OOS";1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;0;1;0;0;"Z7";2;"P"
200;"JU   15";"BE   15";;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;1;"0,5";"Z";"Z";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;4;0;0;1;1;0;0;0;"ZZ";1;"P"
201;"KI   11";"MA   01";1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;3;1;1;1;"OOO";"OOO";"ZO";0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";5;4;0;0;1;0;0;1;0;"24";2;"P"
202;"EL   03";"GU   06";1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;3;1;1;1;"9Z";"9Z";"95";0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";2;1;0;1;0;1;1;0;0;"Z9";1;"P"
203;"EU   17";"RO   12";1;0;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;3;1;1;1;"0,5";"0,5";"6";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;0;1;1;0;0;"ZZ";1;"P"
204;"MA   21";"AX   04";1;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;"[LEER]";4;3;1;0;0;1;0;1;0;"ZZ";1;"P"
205;"XX   99";"XX   99";1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;"[LEER]";4;4;0;0;0;1;1;0;0;"25";1;"P"
206;"SA   06";"GU   08";1;1;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;"[LEER]";3;2;0;0;0;1;1;0;0;"ZZ";1;"P"
207;"ST   04";"TH   03";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;2;"O";"O";"001";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z5";1;"P"
208;"BI   31";"MA   13";1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;"1";"O";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;"[LEER]";3;3;0;0;1;1;0;0;0;"ZZ";2;"P"
209;"KA   28";"WA   01";;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;2;0;0;0;0;0;0;0;"ZZ";1;"P"
210;"AL   14";"NI   18";1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";4;4;1;0;0;0;0;0;0;"Z4";2;"P"
211;"MA   27";"KA   24";2;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;3;1;1;3;"1";"Z";"003";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";1;1;0;1;0;1;1;0;0;"Z4";2;"P"
212;"BI   03";"BE   26";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";4;3;0;0;1;1;0;1;0;"ZZ";1;"P"
213;"AN   05";"GI   17";1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;1;0;0;3;1;1;3;"I";"I";"I";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;1;0;0;0;0;0;0;"Z4";2;"P"
214;"BI   04";"HE   19";1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"33";2;"P"
215;"SA   22";"UL   14";1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"[LEER]";4;3;1;0;0;0;0;0;0;"ZZ";2;"P"
216;"AN   23";"RA   19";1;1;0;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;3;;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";4;3;0;1;0;1;0;0;0;"ZZ";1;"P"
217;"FR   07";"GE   24";1;0;1;0;0;0;0;1;1;0;2;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;"[LEER]";4;2;0;0;0;0;1;0;0;"ZZ";2;"P"
218;"AL   22";"PE   12";1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;3;1;1;2;"95";"O5";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;1;0;0;0;1;1;0;0;"ZZ";1;"P"
219;"EV   25";"JO   15";1;1;0;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;3;1;1;2;"0,5";"OO1";"OOZ";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;1;0;1;1;0;0;"ZY";1;"P"
220;"RI   14";"JO   25";1;0;1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;"[LEER]";4;4;0;0;1;0;0;0;0;"Z1";1;"P"
221;"RA   01";"KH   09";1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"ZO";2;"P"
222;"BI   22";"RA   15";1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"Z4";1;"P"
223;"JJ   29";"ST   04";1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;0;0;0;"ZZ";1;"P"
224;"CO   10";"JA   26";1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;3;1;1;3;"0,5";"O";"Z";0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;0;0;0;"23";1;"P"
225;"VE   01";"ED   01";1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;"0";"O";"ZO";1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;0;1;0;0;1;"4G";2;"P"
226;"BA   30";"LU   25";1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";".";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;1;0;"Z7";1;"P"
227;"NI   17";"FR   12";1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;0;3;1;1;1;"OO1";"OO1";"OOZ";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"ZZ";2;"P"
228;"MO   04";"PA   12";1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;2;2;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;"[LEER]";3;3;0;0;1;1;0;0;1;"ZO";2;"P"
229;"SI   22";"RA   23";1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";3;4;0;0;1;1;1;0;0;"ZZ";2;"P"
230;"AY   05";"XX   99";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"Z5";2;"P"
231;"CH   27";"WI   14";1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;"[LEER]";4;3;1;0;0;0;0;0;0;"ZZ";2;"P"
232;"CH   19";"MA   17";1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;3;1;1;2;"1";"1";"0,5";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"Z4";1;"P"
233;"EL   25";"ST   10";1;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;2;2;"0,5";"0,5";"002";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;1;0;0;0;"ZZ";1;"P"
234;"UR   23";"JO   11";1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;2;1;1;2;"OOO";"OOO";"OOZ";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;1;0;1;0;0;0;"Z1";2;"P"
235;"SA   03";"SI   03";;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";4;4;0;1;0;1;1;0;0;"ZZ";2;"P"
236;"MA   07";"AH   09";1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;3;;1;2;"9^";"9^";"^";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"Z6";1;"P"
237;"AN   06";"DA   18";1;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
238;"AN   31";"DA   11";1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;3;2;2;;"";"";"";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;1;1;0;0;"Z1";2;"P"
239;"PE   26";"DI   20";1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"Z^";2;"P"
240;"CA   14";"AL   01";;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;3;1;2;1;"0,1";"O1";"010";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZB";1;"P"
241;"CH   21";"SI   30";1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;3;1;2;2;"95";"0,5";"Z";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";1;1;0;0;1;0;1;0;0;"J4";1;"P"
242;"FR   16";"SI   03";1;0;1;0;0;1;0;1;1;0;;1;0;0;0;0;1;0;0;0;;;1;2;"OO^";"OO1";"OO1";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"Z9";2;"P"
243;"AN   02";"MA   01";1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;"[LEER]";4;3;1;0;0;0;0;0;0;"ZO";1;"P"
244;"GI   21";"AL   17";1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;0;0;1;0;"Z4";2;"P"
245;"BA   03";"HE   20";1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;"[LEER]";4;4;1;0;0;1;0;1;0;"ZZ";1;"P"
246;"FA   01";"RA   05";1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;;;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";;;0;0;0;0;0;0;0;"";;"P"
247;"SA   18";"RU   04";1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;1;0;2;1;1;1;"0,5";"1";"Z5";1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;;"[LEER]";1;2;0;0;0;0;1;0;0;"Z5";1;"P"
248;"GR   29";"HA   03";1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;1;0;1;0;0;0;"Z4";2;"P"
249;"MA   05";"TH   25";1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;2;3;"O";"O";"/OO";0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";5;2;0;0;0;1;0;0;0;"ZO";2;"P"
250;"HE   11";"RO   25";1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";4;4;0;0;0;0;1;0;0;"Z4";1;"P"
251;"BA   24";"JO   01";1;1;0;0;0;1;0;0;1;1;;1;1;0;0;1;0;1;0;0;3;1;1;;"O";"O";"Y";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;0;0;0;"ZZ";1;"P"
252;"HE   10";"SI   26";1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";3;4;0;0;1;0;0;0;0;"ZZ";1;"P"
253;"SA   19";"LA   16";1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;1;0;"24";2;"P"
254;"AN   25";"HU   19";1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;2;"OI5";"OI1";"1O";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;1;0;0;"ZZ";1;"P"
255;"EU   25";"RO   03";;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;"[LEER]";3;2;0;0;1;1;0;1;1;"Z5";1;"P"
256;"SU   12";"OL   12";1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;3;1;1;2;"Z";"95";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;1;0;1;0;0;0;"Z6";2;"P"
257;"AN   28";"JO   31";1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;3;1;1;1;"O1";"0,5";"ZD";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;0;0;0;"42";1;"P"
